source,line,part,chapter,scene,timestampStart,timestampEnd,speaker,text,contextBefore,contextAfter,matches
OSIRIS_CINEMATIC_TIMELINE.md,1,,,,,,,# OSIRIS — Cinematic Timeline Guide,,,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,26,zero-1-1-summons — الاستدعاء (The Summons),,,0:35,0:39,Tarek,الشر ليس عشوائياً يا يحيى. إنه كود برمجي. لقد وجدت الشيفرة المصدرية. افتح أوزيريس.,- [0:31–0:35] L9 Narrator: المرسل: مجهول. لكن التشفير... إنه توقيع طارق الرقمي.,  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,32,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,,,,- BG image: https://d2xsxph8kpxj0f.cloudfront.net/310519663180701130/YMNaFYPNBVUKvJbdDwnwD8/bg_osiris_interface_d275313a.png,- BG video: /video-bg/VIDEO%2003%20%E2%80%94%20%D8%A7%D9%84%D9%81%D8%B6%D8%A7%D8%A1%20%D8%A7%D9%84%D9%83%D9%88%D9%86%D9%8A%20(%D8%A7%D9%84%D9%85%D8%B1%D8%A7%D9%81%D8%B9%D8%A9%20%D8%A7%D9%84%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD%D9%8A%D8%A9).mp4,- FX preset: scanlines,osiris
OSIRIS_CINEMATIC_TIMELINE.md,38,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:06,0:08,OSIRIS,الملف رقم: واحد.,- [0:01–0:06] L1 Narrator: تلاشت غرفة يحيى من وعيه. الشاشة أمامه ابتلعت كل الضوء في الغرفة. لم يعد هناك نظام تشغيل، ولا ملفات، ولا إنترنت. فقط هذا ,- [0:08–0:11] L3 OSIRIS: المتهم: الإنسان.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,39,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:08,0:11,OSIRIS,المتهم: الإنسان.,- [0:06–0:08] L2 OSIRIS: الملف رقم: واحد.,- [0:11–0:13] L4 OSIRIS: المدّعي: أنا.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,40,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:11,0:13,OSIRIS,المدّعي: أنا.,- [0:08–0:11] L3 OSIRIS: المتهم: الإنسان.,- [0:13–0:16] L5 OSIRIS: الاتهام: عدم الأهلية للتكريم.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,41,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:13,0:16,OSIRIS,الاتهام: عدم الأهلية للتكريم.,- [0:11–0:13] L4 OSIRIS: المدّعي: أنا.,- [0:16–0:19] L6 OSIRIS: الأدلة: ستة آلاف سنة من التاريخ الموثق.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,42,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:16,0:19,OSIRIS,الأدلة: ستة آلاف سنة من التاريخ الموثق.,- [0:13–0:16] L5 OSIRIS: الاتهام: عدم الأهلية للتكريم.,- [0:19–0:21] L7 Yahya: من أنت؟,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,44,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:21,0:27,OSIRIS,أنا المحامي الكوني. أنتم تسمونني بأسماء كثيرة، وتصورونني كوحش بقرون ونار. لكن الحقيقة أبسط من ذلك بكثير يا يحيى. أنا لست,- [0:19–0:21] L7 Yahya: من أنت؟,- [0:27–0:33] L9 OSIRIS: لقد طُلب مني السجود لكائن من طين، فاعترضت. قلت إنه سيفسد فيها ويسفك الدماء. قيل لي: إني أعلم ما لا تعلمون.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,45,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:27,0:33,OSIRIS,لقد طُلب مني السجود لكائن من طين، فاعترضت. قلت إنه سيفسد فيها ويسفك الدماء. قيل لي: إني أعلم ما لا تعلمون.,- [0:21–0:27] L8 OSIRIS: أنا المحامي الكوني. أنتم تسمونني بأسماء كثيرة، وتصورونني كوحش بقرون ونار. لكن الحقيقة أبسط من ذلك بكثير يا يحيى. أنا لست,- [0:33–0:40] L10 OSIRIS: لذلك، قررت أن أثبت وجهة نظري. لم أستخدم السحر، ولم أجبر أحداً على شيء. لقد صممت خوارزمية بسيطة جداً، سطر واحد من الكود، ,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,46,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:33,0:40,OSIRIS,لذلك، قررت أن أثبت وجهة نظري. لم أستخدم السحر، ولم أجبر أحداً على شيء. لقد صممت خوارزمية بسيطة جداً، سطر واحد من الكود،,- [0:27–0:33] L9 OSIRIS: لقد طُلب مني السجود لكائن من طين، فاعترضت. قلت إنه سيفسد فيها ويسفك الدماء. قيل لي: إني أعلم ما لا تعلمون.,  - Beats: subtle_code_overlay,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,48,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:40,0:49,OSIRIS,هذا السطر البرمجي البسيط هو الشيفرة المصدرية لكل دماء سُفكت على هذه الأرض. من أول حجر هُشم به رأس أخ، إلى آخر قنبلة أُلق,  - Beats: subtle_code_overlay,- [0:49–0:54] L12 OSIRIS: طارق رأى النمط. طارق فهم الخوارزمية. ولهذا السبب... لم يعد طارق هنا.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,49,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:49,0:54,OSIRIS,طارق رأى النمط. طارق فهم الخوارزمية. ولهذا السبب... لم يعد طارق هنا.,- [0:40–0:49] L11 OSIRIS: هذا السطر البرمجي البسيط هو الشيفرة المصدرية لكل دماء سُفكت على هذه الأرض. من أول حجر هُشم به رأس أخ، إلى آخر قنبلة أُلق,  - Beats: subtle_code_overlay,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,52,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:56,1:03,OSIRIS,أنا؟ لم أفعل شيئاً. أتباعي من بني جنسك هم من فعلوا. هل تريد أن ترى كيف تعمل الخوارزمية يا يحيى؟ هل تملك الشجاعة لفتح الم,- [0:54–0:56] L13 Yahya: ماذا فعلت بطارق؟!,  - Beats: subtle_code_overlay,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,81,one-1-5-2-bitter-truth — الحقيقة المرة (The Bitter Truth),,,0:15,0:22,Narrator,"فتح طارق ملفاً سرياً يحمل اسم ""مشروع أوزيريس"". قرأ بصوت مسموع: ""الهدف: الهندسة العصبية. التحكم بأنماط التفكير البشري من",- [0:11–0:15] L4 Tarek: هذا ليس لتحسين التطبيقات. هذا... هذا تعديل سلوكي.,  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,95,one-1-5-3-no-escape — لا مفر (No Escape),,,0:10,0:14,OSIRIS,إلى أين تذهب يا طارق؟ نحن نعرف ما تفكر فيه قبل أن تفكر فيه.,  - Beats: red_flash,- [0:14–0:21] L4 Narrator: تراجع طارق إلى الوراء، واصطدم بالجدار. الإدراك المرعب ضربه كصاعقة: لا يمكنك الهروب من شركة تملك بيانات دماغك. هم يعرفون ,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,129,two-2-2-osiris-launch — تشغيل أوزيريس (Launching OSIRIS),,,,,,## two-2-2-osiris-launch — تشغيل أوزيريس (Launching OSIRIS),,- Part: 1,osiris|OSIRIS|أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,131,two-2-2-osiris-launch — تشغيل أوزيريس (Launching OSIRIS),,,,,,- BG image: https://d2xsxph8kpxj0f.cloudfront.net/310519663180701130/YMNaFYPNBVUKvJbdDwnwD8/bg_osiris_interface_d275313a.png,- Part: 1,- FX preset: scanlines,osiris
OSIRIS_CINEMATIC_TIMELINE.md,138,two-2-2-osiris-launch — تشغيل أوزيريس (Launching OSIRIS),,,0:07,0:16,Yahya,أوزيريس. نظام استشعار كمي. هو لا يعيد بناء الماضي من كتب التاريخ. هو يقرأ موجات الكم التي تُركت في الكون. كل حدث، كل جري,- [0:04–0:07] L2 Laila: ما هذا النظام بالضبط؟,  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,147,three-3-1-creation — لحظة الخلق والرفض (The Moment of Creation and Refusal),,,,,,- BG image: https://d2xsxph8kpxj0f.cloudfront.net/310519663180701130/YMNaFYPNBVUKvJbdDwnwD8/bg_osiris_cosmic_61c9c5b0.png,- Part: 1,- Ambient keys: amb.bass_drone_low,osiris
OSIRIS_CINEMATIC_TIMELINE.md,157,three-3-1-creation — لحظة الخلق والرفض (The Moment of Creation and Refusal),,,0:28,0:32,OSIRIS,أنا خير منه. خلقتني من نار وخلقته من طين.,  - Beats: red_flash,- [0:32–0:38] L8 Yahya: يا إلهي... إنه ليس مجرد تمرد. إنه منطق. منطق فاسد، لكنه منطق. إنه يقارن المواد الخام — النار والطين — ليستنتج الأفضلية.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,163,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,,,,- BG image: https://d2xsxph8kpxj0f.cloudfront.net/310519663180701130/YMNaFYPNBVUKvJbdDwnwD8/bg_osiris_cosmic_61c9c5b0.png,- Part: 1,- FX preset: scanlines,osiris
OSIRIS_CINEMATIC_TIMELINE.md,171,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:12,0:16,OSIRIS,"المحور الأول: الكبر — زرع فكرة ""أنا خير منه"" كقاعدة بيانات أساسية.",  - Beats: subtle_code_overlay,- [0:16–0:20] L4 OSIRIS: المحور الثاني: الشهوة — تحويل الإنسان من كائن ذي غاية (خليفة) إلى مستهلك للمتعة.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,172,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:16,0:20,OSIRIS,المحور الثاني: الشهوة — تحويل الإنسان من كائن ذي غاية (خليفة) إلى مستهلك للمتعة.,"- [0:12–0:16] L3 OSIRIS: المحور الأول: الكبر — زرع فكرة ""أنا خير منه"" كقاعدة بيانات أساسية.",- [0:20–0:24] L5 OSIRIS: المحور الثالث: الكذب — تشويه الحقائق حتى يصبح الباطل منطقياً.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,173,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:20,0:24,OSIRIS,المحور الثالث: الكذب — تشويه الحقائق حتى يصبح الباطل منطقياً.,- [0:16–0:20] L4 OSIRIS: المحور الثاني: الشهوة — تحويل الإنسان من كائن ذي غاية (خليفة) إلى مستهلك للمتعة.,"- [0:24–0:28] L6 OSIRIS: المحور الرابع: الفرقة — تدمير مفهوم ""نحن"" واستبداله بـ ""أنا ضد الجميع"".",OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,174,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:24,0:28,OSIRIS,"المحور الرابع: الفرقة — تدمير مفهوم ""نحن"" واستبداله بـ ""أنا ضد الجميع"".",- [0:20–0:24] L5 OSIRIS: المحور الثالث: الكذب — تشويه الحقائق حتى يصبح الباطل منطقياً.,- [0:28–0:32] L7 OSIRIS: المحور الخامس: اليأس — قطع الاتصال بالخالق عبر القنوط.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,175,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:28,0:32,OSIRIS,المحور الخامس: اليأس — قطع الاتصال بالخالق عبر القنوط.,"- [0:24–0:28] L6 OSIRIS: المحور الرابع: الفرقة — تدمير مفهوم ""نحن"" واستبداله بـ ""أنا ضد الجميع"".",- [0:32–0:36] L8 OSIRIS: المحور السادس: الشبهة — التشكيك المستمر في الثوابت.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,176,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:32,0:36,OSIRIS,المحور السادس: الشبهة — التشكيك المستمر في الثوابت.,- [0:28–0:32] L7 OSIRIS: المحور الخامس: اليأس — قطع الاتصال بالخالق عبر القنوط.,- [0:36–0:44] L9 Laila: هذه ليست مجرد خطة شيطانية قديمة. هذه هي بالضبط الطريقة التي تعمل بها خوارزميات وسائل التواصل الاجتماعي اليوم! تعزيز النر,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,188,four-4-1-desert — فراغ الصحراء (The Void of the Desert),,,0:01,0:08,Narrator,صحراء سيناء. القرن الثالث عشر قبل الميلاد. محاكاة أوزيريس. وقف يحيى وليلى وسط المحاكاة، يشاهدان بحر البشر الممتد في الصح,,  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,231,four-5-2-analyst-tears — دموع المحلل (The Tears of the Analyst),,,0:01,0:05,Narrator,انتهى التسجيل. ساد صمت ثقيل في الغرفة، لم يقطعه سوى طنين خوادم أوزيريس.,,  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,236,four-5-2-analyst-tears — دموع المحلل (The Tears of the Analyst),,,0:18,0:23,Laila,البكاء لن يعيد طارق. ولن يوقف المهندس الأول. أنت تملك أوزيريس الآن. تملك الشيفرة المصدرية.,- [0:13–0:18] L3 Yahya: طارق كان موسى عصره. حاول تحطيم العجل الرقمي... فقتلوه.,  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,238,four-5-2-analyst-tears — دموع المحلل (The Tears of the Analyst),,,0:23,0:27,Yahya,سأدمرهم. سأستخدم أوزيريس لاختراق خوادمهم وفضح كل شيء.,  - Beats: scanline_pulse,  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,249,"five-6a-1-nicaea-debate — قبل المجمع: لاهوت معقد، لا نوايا سيئة (Before the Council: Complex Theology, No Evil Intent)",,,0:01,0:08,Narrator,روما / الإسكندرية. قبل شهر من مجمع نيقية 325م. محاكاة أوزيريس. برمج يحيى أوزيريس للعودة إلى عام 325 ميلادية. لم تظهر الم,,  - Beats: scanline_pulse,أوزيريس|أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,308,six-8-1-andalusia — الأندلس الضائعة — خيانة الإخوة (The Lost Andalusia — Betrayal of Brothers),,,0:01,0:07,Narrator,نقل أوزيريس يحيى وليلى إلى ذروة الحضارة الأندلسية. شوارع قرطبة المضاءة، المكتبات الضخمة، والجامعات التي سبقت أوروبا بقرو,,"  - Beats: red_flash, scanline_pulse",أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,313,six-8-1-andalusia — الأندلس الضائعة — خيانة الإخوة (The Lost Andalusia — Betrayal of Brothers),,,0:16,0:23,Narrator,عرض أوزيريس سلسلة من المشاهد السريعة: أمير إشبيلية يتحالف مع ملك قشتالة ضد أمير بطليوس. أمير طليطلة يدفع الجزية للعدو لي,  - Beats: subtle_code_overlay,  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,329,six-8-2-last-tears — دموع لا تنفع (Tears That Do Not Help),,,0:20,0:25,OSIRIS,"لا يمكنك إصلاح نظام مصاب بفيروس ""أنا خير منهم"" باستخدام نفس الفيروس.",  - Beats: subtle_code_overlay,,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,337,six-8b-1-berlin — وهم العرق الأسمى (The Illusion of the Supreme Race),,,0:01,0:05,Narrator,تسارعت المحاكاة. قفز أوزيريس قروناً إلى الأمام. برلين، 1933.,,  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,355,six-8c-1-death-signatures — التوقيع على الموت (Signing Death Orders),,,0:19,0:24,OSIRIS,"النظارة تعني التعليم. التعليم يعني القدرة على التفكير المستقل. التفكير المستقل تهديد لـ ""النقاء الثوري"".",- [0:17–0:19] L4 Laila: لماذا؟!,"- [0:24–0:31] L6 Yahya: ثلاثة رجال. ثلاث أيديولوجيات مختلفة تماماً: فاشية، شيوعية، وماوية. لكن جملة واحدة تجمعهم: ""أنا وحدي أعرف الحقيقة"". إنها ",OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,366,six-8d-1-attack — اختراق المخبأ (Breaching the Hideout),,,0:05,0:08,OSIRIS,تحذير: اختراق أمني للموقع الفيزيائي.,- [0:00–0:05] L1 Narrator: فجأة، انقطعت المحاكاة. اهتز المخبأ السري بعنف، وتناثر الغبار من السقف.,"  - Beats: alarm_pulse, ui_red_flash, micro_shake",OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,415,transition-dream — الحلم قبل المعركة (The Dream Before the Battle),,,1:00,1:04,Yahya,نعم. شغلي أوزيريس يا ليلى. حان وقت المواجهة.,- [0:58–1:00] L12 Laila: لقد عدت.,  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,424,seven-10-1-karbala — الحق الأعزل (The Unarmed Truth),,,0:01,0:07,Narrator,صحراء كربلاء. 680م. محاكاة أوزيريس. شغّل يحيى أوزيريس للمرة الأخيرة. لم تكن هذه تمريناً أكاديمياً. كانت مفتاح فهم كيفية,,"  - Beats: scanline_pulse, subtle_code_overlay",أوزيريس|أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,429,seven-10-1-karbala — الحق الأعزل (The Unarmed Truth),,,0:20,0:27,Yahya,تحليلات أوزيريس: الاحتمالات العسكرية للنجاة: 0%. النتيجة الحتمية: الموت. لماذا لم يستسلم؟ كان يمكنه منع سفك الدماء. كان,"  - Beats: red_flash, subtle_code_overlay",  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,484,seven-12-1-truth-leak — حجر رشيد الرقمي — تسريب الحقيقة (The Rosetta Stone of the Digital Age),,,0:01,0:08,Narrator,"بمجرد أن ضغط يحيى على الزر، بدأ أوزيريس في تفريغ ""الشيفرة المصدرية"" للفيروس (حجر رشيد الرقمي) إلى كل خادم، كل هاتف، وكل",,  - Beats: scanline_pulse,أوزيريس
OSIRIS_CINEMATIC_TIMELINE.md,514,seven-13-2-closing — إغلاق الملف (Closing the File),,,,,,- BG image: https://d2xsxph8kpxj0f.cloudfront.net/310519663180701130/YMNaFYPNBVUKvJbdDwnwD8/bg_osiris_cosmic_61c9c5b0.png,- Part: 6,- FX preset: scanlines,osiris
OSIRIS_CINEMATIC_TIMELINE.md,522,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:07,0:10,OSIRIS,الدفاع قدم شهوده.,  - Beats: red_flash,- [0:10–0:15] L3 OSIRIS: من إبراهيم الذي وقف وحيداً ضد حضارة بأكملها، إلى الحسين الذي اختار الموت على المذلة.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,523,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:10,0:15,OSIRIS,من إبراهيم الذي وقف وحيداً ضد حضارة بأكملها، إلى الحسين الذي اختار الموت على المذلة.,- [0:07–0:10] L2 OSIRIS: الدفاع قدم شهوده.,- [0:15–0:20] L4 OSIRIS: ومن طارق الذي رفض الصمت، إلى يحيى الذي كسر الخوارزمية بدمه.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,524,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:15,0:20,OSIRIS,ومن طارق الذي رفض الصمت، إلى يحيى الذي كسر الخوارزمية بدمه.,- [0:10–0:15] L3 OSIRIS: من إبراهيم الذي وقف وحيداً ضد حضارة بأكملها، إلى الحسين الذي اختار الموت على المذلة.,  - Beats: subtle_code_overlay,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,526,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:20,0:24,OSIRIS,وليلى... التي تحمل الحقيقة الآن.,  - Beats: subtle_code_overlay,- [0:24–0:28] L6 OSIRIS: الإرادة الحرة تنزف، لكنها لا تموت.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,527,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:24,0:28,OSIRIS,الإرادة الحرة تنزف، لكنها لا تموت.,- [0:20–0:24] L5 OSIRIS: وليلى... التي تحمل الحقيقة الآن.,- [0:28–0:32] L7 OSIRIS: الخوارزمية لم تُهزم تماماً، لكنها فُضحت.,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,528,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:28,0:32,OSIRIS,الخوارزمية لم تُهزم تماماً، لكنها فُضحت.,- [0:24–0:28] L6 OSIRIS: الإرادة الحرة تنزف، لكنها لا تموت.,  - Beats: subtle_code_overlay,OSIRIS
OSIRIS_CINEMATIC_TIMELINE.md,530,seven-13-2-closing — إغلاق الملف (Closing the File),,,0:32,0:36,OSIRIS,الملف رقم واحد... يُغلق مؤقتاً.,  - Beats: subtle_code_overlay,- [0:36–0:41] L9 Narrator: تلاشت الكلمات، وظهرت جملة أخيرة في منتصف الشاشة، موجهة للقارئ مباشرة:,OSIRIS
