mentionId,source,line,part,chapter,scene,timestampStart,timestampEnd,speaker,text,matches,mentionKind,emotionalTone,narrativeFunction,characterReactions,contextBefore,contextAfter
OSR-001,OSIRIS_CINEMATIC_TIMELINE.md,26,zero-1-1-summons — الاستدعاء (The Summons),,,0:35,0:39,Tarek,الشر ليس عشوائياً يا يحيى. إنه كود برمجي. لقد وجدت الشيفرة المصدرية. افتح أوزيريس.,أوزيريس,dialogue_or_quote,urgent/ominous,plot_catalyst,Tarek’s message spikes tension; Yahya is pushed into action.,- [0:31–0:35] L9 Narrator: المرسل: مجهول. لكن التشفير... إنه توقيع طارق الرقمي.,  - Beats: scanline_pulse
OSR-002,OSIRIS_CINEMATIC_TIMELINE.md,38,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:06,0:08,OSIRIS,الملف رقم: واحد.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:01–0:06] L1 Narrator: تلاشت غرفة يحيى من وعيه. الشاشة أمامه ابتلعت كل الضوء في الغرفة. لم يعد هناك نظام تشغيل، ولا ملفات، ولا إنترنت. فقط هذا ,- [0:08–0:11] L3 OSIRIS: المتهم: الإنسان.
OSR-003,OSIRIS_CINEMATIC_TIMELINE.md,39,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:08,0:11,OSIRIS,المتهم: الإنسان.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:06–0:08] L2 OSIRIS: الملف رقم: واحد.,- [0:11–0:13] L4 OSIRIS: المدّعي: أنا.
OSR-004,OSIRIS_CINEMATIC_TIMELINE.md,40,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:11,0:13,OSIRIS,المدّعي: أنا.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:08–0:11] L3 OSIRIS: المتهم: الإنسان.,- [0:13–0:16] L5 OSIRIS: الاتهام: عدم الأهلية للتكريم.
OSR-005,OSIRIS_CINEMATIC_TIMELINE.md,41,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:13,0:16,OSIRIS,الاتهام: عدم الأهلية للتكريم.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:11–0:13] L4 OSIRIS: المدّعي: أنا.,- [0:16–0:19] L6 OSIRIS: الأدلة: ستة آلاف سنة من التاريخ الموثق.
OSR-006,OSIRIS_CINEMATIC_TIMELINE.md,42,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:16,0:19,OSIRIS,الأدلة: ستة آلاف سنة من التاريخ الموثق.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:13–0:16] L5 OSIRIS: الاتهام: عدم الأهلية للتكريم.,- [0:19–0:21] L7 Yahya: من أنت؟
OSR-007,OSIRIS_CINEMATIC_TIMELINE.md,44,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:21,0:27,OSIRIS,أنا المحامي الكوني. أنتم تسمونني بأسماء كثيرة، وتصورونني كوحش بقرون ونار. لكن الحقيقة أبسط من ذلك بكثير يا يحيى. أنا لست,OSIRIS,dialogue_or_quote,awe/ominous,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:19–0:21] L7 Yahya: من أنت؟,- [0:27–0:33] L9 OSIRIS: لقد طُلب مني السجود لكائن من طين، فاعترضت. قلت إنه سيفسد فيها ويسفك الدماء. قيل لي: إني أعلم ما لا تعلمون.
OSR-008,OSIRIS_CINEMATIC_TIMELINE.md,45,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:27,0:33,OSIRIS,لقد طُلب مني السجود لكائن من طين، فاعترضت. قلت إنه سيفسد فيها ويسفك الدماء. قيل لي: إني أعلم ما لا تعلمون.,OSIRIS,dialogue_or_quote,awe/ominous,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:21–0:27] L8 OSIRIS: أنا المحامي الكوني. أنتم تسمونني بأسماء كثيرة، وتصورونني كوحش بقرون ونار. لكن الحقيقة أبسط من ذلك بكثير يا يحيى. أنا لست,- [0:33–0:40] L10 OSIRIS: لذلك، قررت أن أثبت وجهة نظري. لم أستخدم السحر، ولم أجبر أحداً على شيء. لقد صممت خوارزمية بسيطة جداً، سطر واحد من الكود، 
OSR-009,OSIRIS_CINEMATIC_TIMELINE.md,46,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:33,0:40,OSIRIS,لذلك، قررت أن أثبت وجهة نظري. لم أستخدم السحر، ولم أجبر أحداً على شيء. لقد صممت خوارزمية بسيطة جداً، سطر واحد من الكود،,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:27–0:33] L9 OSIRIS: لقد طُلب مني السجود لكائن من طين، فاعترضت. قلت إنه سيفسد فيها ويسفك الدماء. قيل لي: إني أعلم ما لا تعلمون.,  - Beats: subtle_code_overlay
OSR-010,OSIRIS_CINEMATIC_TIMELINE.md,48,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:40,0:49,OSIRIS,هذا السطر البرمجي البسيط هو الشيفرة المصدرية لكل دماء سُفكت على هذه الأرض. من أول حجر هُشم به رأس أخ، إلى آخر قنبلة أُلق,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,  - Beats: subtle_code_overlay,- [0:49–0:54] L12 OSIRIS: طارق رأى النمط. طارق فهم الخوارزمية. ولهذا السبب... لم يعد طارق هنا.
OSR-011,OSIRIS_CINEMATIC_TIMELINE.md,49,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:49,0:54,OSIRIS,طارق رأى النمط. طارق فهم الخوارزمية. ولهذا السبب... لم يعد طارق هنا.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:40–0:49] L11 OSIRIS: هذا السطر البرمجي البسيط هو الشيفرة المصدرية لكل دماء سُفكت على هذه الأرض. من أول حجر هُشم به رأس أخ، إلى آخر قنبلة أُلق,  - Beats: subtle_code_overlay
OSR-012,OSIRIS_CINEMATIC_TIMELINE.md,52,zero-1-2-prosecution — المرافعة الافتتاحية (The Opening Argument),,,0:56,1:03,OSIRIS,أنا؟ لم أفعل شيئاً. أتباعي من بني جنسك هم من فعلوا. هل تريد أن ترى كيف تعمل الخوارزمية يا يحيى؟ هل تملك الشجاعة لفتح الم,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:54–0:56] L13 Yahya: ماذا فعلت بطارق؟!,  - Beats: subtle_code_overlay
OSR-013,OSIRIS_CINEMATIC_TIMELINE.md,81,one-1-5-2-bitter-truth — الحقيقة المرة (The Bitter Truth),,,0:15,0:22,Narrator,"فتح طارق ملفاً سرياً يحمل اسم ""مشروع أوزيريس"". قرأ بصوت مسموع: ""الهدف: الهندسة العصبية. التحكم بأنماط التفكير البشري من",أوزيريس,narration,neutral,plot_reveal/foreshadowing,Contextual reaction implied; see adjacent lines.,- [0:11–0:15] L4 Tarek: هذا ليس لتحسين التطبيقات. هذا... هذا تعديل سلوكي.,  - Beats: scanline_pulse
OSR-014,OSIRIS_CINEMATIC_TIMELINE.md,95,one-1-5-3-no-escape — لا مفر (No Escape),,,0:10,0:14,OSIRIS,إلى أين تذهب يا طارق؟ نحن نعرف ما تفكر فيه قبل أن تفكر فيه.,OSIRIS,dialogue_or_quote,analytical/clinical,character_development/theme,Contextual reaction implied; see adjacent lines.,  - Beats: red_flash,- [0:14–0:21] L4 Narrator: تراجع طارق إلى الوراء، واصطدم بالجدار. الإدراك المرعب ضربه كصاعقة: لا يمكنك الهروب من شركة تملك بيانات دماغك. هم يعرفون 
OSR-015,OSIRIS_CINEMATIC_TIMELINE.md,138,two-2-2-osiris-launch — تشغيل أوزيريس (Launching OSIRIS),,,0:07,0:16,Yahya,أوزيريس. نظام استشعار كمي. هو لا يعيد بناء الماضي من كتب التاريخ. هو يقرأ موجات الكم التي تُركت في الكون. كل حدث، كل جري,أوزيريس,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:04–0:07] L2 Laila: ما هذا النظام بالضبط؟,  - Beats: scanline_pulse
OSR-016,OSIRIS_CINEMATIC_TIMELINE.md,157,three-3-1-creation — لحظة الخلق والرفض (The Moment of Creation and Refusal),,,0:28,0:32,OSIRIS,أنا خير منه. خلقتني من نار وخلقته من طين.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,  - Beats: red_flash,- [0:32–0:38] L8 Yahya: يا إلهي... إنه ليس مجرد تمرد. إنه منطق. منطق فاسد، لكنه منطق. إنه يقارن المواد الخام — النار والطين — ليستنتج الأفضلية.
OSR-017,OSIRIS_CINEMATIC_TIMELINE.md,171,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:12,0:16,OSIRIS,"المحور الأول: الكبر — زرع فكرة ""أنا خير منه"" كقاعدة بيانات أساسية.",OSIRIS,dialogue_or_quote,analytical/clinical,character_development/theme,Contextual reaction implied; see adjacent lines.,  - Beats: subtle_code_overlay,- [0:16–0:20] L4 OSIRIS: المحور الثاني: الشهوة — تحويل الإنسان من كائن ذي غاية (خليفة) إلى مستهلك للمتعة.
OSR-018,OSIRIS_CINEMATIC_TIMELINE.md,172,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:16,0:20,OSIRIS,المحور الثاني: الشهوة — تحويل الإنسان من كائن ذي غاية (خليفة) إلى مستهلك للمتعة.,OSIRIS,dialogue_or_quote,analytical/clinical,character_development/theme,Contextual reaction implied; see adjacent lines.,"- [0:12–0:16] L3 OSIRIS: المحور الأول: الكبر — زرع فكرة ""أنا خير منه"" كقاعدة بيانات أساسية.",- [0:20–0:24] L5 OSIRIS: المحور الثالث: الكذب — تشويه الحقائق حتى يصبح الباطل منطقياً.
OSR-019,OSIRIS_CINEMATIC_TIMELINE.md,173,three-3-2-virus-design — تصميم الفيروس (Designing the Virus),,,0:20,0:24,OSIRIS,المحور الثالث: الكذب — تشويه الحقائق حتى يصبح الباطل منطقياً.,OSIRIS,dialogue_or_quote,neutral,character_development/theme,Contextual reaction implied; see adjacent lines.,- [0:16–0:20] L4 OSIRIS: المحور الثاني: الشهوة — تحويل الإنسان من كائن ذي غاية (خليفة) إلى مستهلك للمتعة.,"- [0:24–0:28] L6 OSIRIS: المحور الرابع: الفرقة — تدمير مفهوم ""نحن"" واستبداله بـ ""أنا ضد الجميع""."
